price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_per_area,room_count,amenity_score,bath_bed_ratio,story_bed_ratio,parking_bed_ratio,total_comfort_score
13300000,7420,4,2,3,1,0,0,0,1,2,1,1,1792.4528301886792,6,2,0.5,0.75,0.5,1
12250000,8960,4,4,4,1,0,0,0,1,3,0,1,1367.1875,8,1,1.0,1.0,0.75,1
12250000,9960,3,2,2,1,0,1,0,0,2,1,2,1229.9196787148594,5,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
12215000,7500,4,2,2,1,0,1,0,1,3,1,1,1628.6666666666667,6,3,0.5,0.5,0.75,2
11410000,7420,4,1,2,1,1,1,0,1,2,0,1,1537.7358490566037,5,3,0.25,0.5,0.5,3
10850000,7500,3,3,1,1,0,1,0,1,2,1,2,1446.6666666666667,6,3,1.0,0.3333333333333333,0.6666666666666666,2
10150000,8580,4,3,4,1,0,0,0,1,2,1,2,1182.983682983683,7,2,0.75,1.0,0.5,1
10150000,16200,5,3,2,1,0,0,0,0,0,0,3,626.5432098765432,8,0,0.6,0.4,0.0,0
9870000,8100,4,1,2,1,1,1,0,1,2,1,1,1218.5185185185185,5,4,0.25,0.5,0.5,3
9800000,5750,3,2,4,1,1,0,0,1,1,1,3,1704.3478260869565,5,3,0.6666666666666666,1.3333333333333333,0.3333333333333333,2
9800000,13200,3,1,2,1,0,1,0,1,2,1,1,742.4242424242424,4,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,2
9681000,6000,4,3,2,1,1,1,1,0,2,0,2,1613.5,7,3,0.75,0.5,0.5,3
9310000,6550,4,2,2,1,0,0,0,1,1,1,2,1421.3740458015268,6,2,0.5,0.5,0.25,1
9240000,3500,4,2,2,1,0,0,1,0,2,0,1,2640.0,6,1,0.5,0.5,0.5,1
9240000,7800,3,2,2,1,0,0,0,0,0,1,2,1184.6153846153845,5,1,0.6666666666666666,0.6666666666666666,0.0,0
9100000,6000,4,1,2,1,0,1,0,0,2,0,2,1516.6666666666667,5,1,0.25,0.5,0.5,1
9100000,6600,4,2,2,1,1,1,0,1,1,1,3,1378.7878787878788,6,4,0.5,0.5,0.25,3
8960000,8500,3,2,4,1,0,0,0,1,2,0,1,1054.1176470588234,5,1,0.6666666666666666,1.3333333333333333,0.6666666666666666,1
8890000,4600,3,2,2,1,1,0,0,1,2,0,1,1932.608695652174,5,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,2
8855000,6420,3,2,2,1,0,0,0,1,1,1,2,1379.2834890965732,5,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,1
8750000,4320,3,1,2,1,0,1,1,0,2,0,2,2025.462962962963,4,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,2
8680000,7155,3,2,1,1,1,1,0,1,2,0,3,1213.1376659678547,5,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
8645000,8050,3,1,1,1,1,1,0,1,1,0,1,1073.9130434782608,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
8645000,4560,3,2,2,1,1,1,0,1,1,0,1,1895.8333333333333,5,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,3
8575000,8800,3,2,2,1,0,0,0,1,2,0,1,974.4318181818181,5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
8540000,6540,4,2,2,1,1,1,0,1,2,1,1,1305.8103975535169,6,4,0.5,0.5,0.5,3
8463000,6000,3,2,4,1,1,1,0,1,0,1,2,1410.5,5,4,0.6666666666666666,1.3333333333333333,0.0,3
8400000,8875,3,1,1,1,0,0,0,0,1,0,2,946.4788732394367,4,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
8400000,7950,5,2,2,1,0,1,1,0,2,0,3,1056.6037735849056,7,2,0.4,0.4,0.4,2
8400000,5500,4,2,2,1,0,1,0,1,1,1,2,1527.2727272727273,6,3,0.5,0.5,0.25,2
8400000,7475,3,2,4,1,0,0,0,1,2,0,3,1123.7458193979933,5,1,0.6666666666666666,1.3333333333333333,0.6666666666666666,1
8400000,7000,3,1,4,1,0,0,0,1,2,0,2,1200.0,4,1,0.3333333333333333,1.3333333333333333,0.6666666666666666,1
8295000,4880,4,2,2,1,0,0,0,1,1,1,1,1699.795081967213,6,2,0.5,0.5,0.25,1
8190000,5960,3,3,2,1,1,1,0,0,1,0,3,1374.1610738255033,6,2,1.0,0.6666666666666666,0.3333333333333333,2
8120000,6840,5,1,2,1,1,1,0,1,1,0,1,1187.1345029239767,6,3,0.2,0.4,0.2,3
8080940,7000,3,2,4,1,0,0,0,1,2,0,1,1154.42,5,1,0.6666666666666666,1.3333333333333333,0.6666666666666666,1
8043000,7482,3,2,3,1,0,0,1,0,1,1,1,1074.979951884523,5,2,0.6666666666666666,1.0,0.3333333333333333,1
7980000,9000,4,2,4,1,0,0,0,1,2,0,1,886.6666666666666,6,1,0.5,1.0,0.5,1
7962500,6000,3,1,4,1,1,0,0,1,2,0,3,1327.0833333333333,4,2,0.3333333333333333,1.3333333333333333,0.6666666666666666,2
7910000,6000,4,2,4,1,0,0,0,1,1,0,2,1318.3333333333333,6,1,0.5,1.0,0.25,1
7875000,6550,3,1,2,1,0,1,0,1,0,1,1,1202.2900763358778,4,3,0.3333333333333333,0.6666666666666666,0.0,2
7840000,6360,3,2,4,1,0,0,0,1,0,1,1,1232.7044025157234,5,2,0.6666666666666666,1.3333333333333333,0.0,1
7700000,6480,3,2,4,1,0,0,0,1,2,0,3,1188.2716049382716,5,1,0.6666666666666666,1.3333333333333333,0.6666666666666666,1
7700000,6000,4,2,4,1,0,0,0,0,2,0,2,1283.3333333333333,6,0,0.5,1.0,0.5,0
7560000,6000,4,2,4,1,0,0,0,1,1,0,1,1260.0,6,1,0.5,1.0,0.25,1
7560000,6000,3,2,3,1,0,0,0,1,0,0,2,1260.0,5,1,0.6666666666666666,1.0,0.0,1
7525000,6000,3,2,4,1,0,0,0,1,1,0,1,1254.1666666666667,5,1,0.6666666666666666,1.3333333333333333,0.3333333333333333,1
7490000,6600,3,1,4,1,0,0,0,1,3,1,1,1134.8484848484848,4,2,0.3333333333333333,1.3333333333333333,1.0,1
7455000,4300,3,2,2,1,0,1,0,0,1,0,3,1733.7209302325582,5,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,1
7420000,7440,3,2,1,1,1,1,0,1,0,1,2,997.3118279569892,5,4,0.6666666666666666,0.3333333333333333,0.0,3
7420000,7440,3,2,4,1,0,0,0,0,1,1,3,997.3118279569892,5,1,0.6666666666666666,1.3333333333333333,0.3333333333333333,0
7420000,6325,3,1,4,1,0,0,0,1,1,0,3,1173.1225296442688,4,1,0.3333333333333333,1.3333333333333333,0.3333333333333333,1
7350000,6000,4,2,4,1,1,0,0,1,1,0,1,1225.0,6,2,0.5,1.0,0.25,2
7350000,5150,3,2,4,1,0,0,0,1,2,0,2,1427.1844660194174,5,1,0.6666666666666666,1.3333333333333333,0.6666666666666666,1
7350000,6000,3,2,2,1,1,0,0,1,1,0,2,1225.0,5,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,2
7350000,6000,3,1,2,1,0,0,0,1,1,0,3,1225.0,4,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,1
7343000,11440,4,1,2,1,0,1,0,0,1,1,2,641.8706293706293,5,2,0.25,0.5,0.25,1
7245000,9000,4,2,4,1,1,0,0,1,1,1,1,805.0,6,3,0.5,1.0,0.25,2
7210000,7680,4,2,4,1,1,0,0,1,1,0,2,938.8020833333334,6,2,0.5,1.0,0.25,2
7210000,6000,3,2,4,1,1,0,0,1,1,0,1,1201.6666666666667,5,2,0.6666666666666666,1.3333333333333333,0.3333333333333333,2
7140000,6000,3,2,2,1,1,0,0,0,1,0,2,1190.0,5,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,1
7070000,8880,2,1,1,1,0,0,0,1,1,0,2,796.1711711711712,3,1,0.5,0.5,0.5,1
7070000,6240,4,2,2,1,0,0,0,1,1,0,1,1133.0128205128206,6,1,0.5,0.5,0.25,1
7035000,6360,4,2,3,1,0,0,0,1,2,1,1,1106.132075471698,6,2,0.5,0.75,0.5,1
7000000,11175,3,1,1,1,0,1,0,1,1,1,1,626.3982102908277,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,2
6930000,8880,3,2,2,1,0,1,0,1,1,0,1,780.4054054054054,5,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,2
6930000,13200,2,1,1,1,0,1,1,0,1,0,1,525.0,3,2,0.5,0.5,0.5,2
6895000,7700,3,2,1,1,0,0,0,0,2,0,3,895.4545454545455,5,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0
6860000,6000,3,1,1,1,0,0,0,1,1,0,1,1143.3333333333333,4,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
6790000,12090,4,2,2,1,0,0,0,0,2,1,1,561.6211745244003,6,1,0.5,0.5,0.5,0
6790000,4000,3,2,2,1,0,1,0,1,0,1,2,1697.5,5,3,0.6666666666666666,0.6666666666666666,0.0,2
6755000,6000,4,2,4,1,0,0,0,1,0,0,3,1125.8333333333333,6,1,0.5,1.0,0.0,1
6720000,5020,3,1,4,1,0,0,0,1,0,1,3,1338.6454183266933,4,2,0.3333333333333333,1.3333333333333333,0.0,1
6685000,6600,2,2,4,1,0,1,0,0,0,1,1,1012.8787878787879,4,2,1.0,2.0,0.0,1
6650000,4040,3,1,2,1,0,1,1,0,1,0,1,1646.039603960396,4,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,2
6650000,4260,4,2,2,1,0,0,1,0,0,0,2,1561.0328638497654,6,1,0.5,0.5,0.0,1
6650000,6420,3,2,3,1,0,0,0,1,0,1,1,1035.8255451713396,5,2,0.6666666666666666,1.0,0.0,1
6650000,6500,3,2,3,1,0,0,0,1,0,1,1,1023.0769230769231,5,2,0.6666666666666666,1.0,0.0,1
6650000,5700,3,1,1,1,1,1,0,1,2,1,1,1166.6666666666667,4,4,0.3333333333333333,0.3333333333333333,0.6666666666666666,3
6650000,6000,3,2,3,1,1,0,0,1,0,0,1,1108.3333333333333,5,2,0.6666666666666666,1.0,0.0,2
